attendance_date,employee_id,scheduled_days,present_days,leave_days,absence_days,overtime_hours
2022-01-31,EMP00001,21,17,4,0,10.48
2022-02-28,EMP00001,22,21,1,0,7.31
2022-03-31,EMP00001,20,19,0,1,11.24
2022-04-30,EMP00001,22,20,2,0,15.62
2022-05-31,EMP00001,20,16,3,1,6.83
2022-06-30,EMP00001,23,22,1,0,6.83
2022-07-31,EMP00001,22,19,3,0,15.9
2022-08-31,EMP00001,21,19,2,0,11.84
2022-09-30,EMP00001,21,18,3,0,5.65
2022-10-31,EMP00001,21,19,2,0,10.71
2022-11-30,EMP00001,22,20,2,0,5.68
2022-12-31,EMP00001,23,20,2,1,5.67
2023-01-31,EMP00001,22,21,1,0,9.21
2023-02-28,EMP00001,21,19,2,0,0.0
2023-03-31,EMP00001,23,22,0,1,0.0
2023-04-30,EMP00001,23,23,0,0,5.19
2023-05-31,EMP00001,21,19,2,0,2.94
2023-06-30,EMP00001,23,20,3,0,9.57
2023-07-31,EMP00001,20,18,1,1,3.46
2023-08-31,EMP00001,23,22,1,0,0.94
2023-09-30,EMP00001,20,19,1,0,15.33
2023-10-31,EMP00001,20,19,1,0,6.87
2023-11-30,EMP00001,20,20,0,0,8.34
2023-12-31,EMP00001,22,21,1,0,0.88
2024-01-31,EMP00001,23,21,2,0,5.28
2024-02-29,EMP00001,20,20,0,0,8.55
2024-03-31,EMP00001,21,20,1,0,2.25
2024-04-30,EMP00001,21,18,3,0,9.88
2024-05-31,EMP00001,20,20,0,0,5.0
2024-06-30,EMP00001,20,19,1,0,6.54
2024-07-31,EMP00001,20,17,2,1,4.99
2024-08-31,EMP00001,21,21,0,0,17.26
2024-09-30,EMP00001,20,19,1,0,7.93
2024-10-31,EMP00001,21,21,0,0,2.71
2024-11-30,EMP00001,23,23,0,0,12.11
2024-12-31,EMP00001,23,22,1,0,1.9
2022-01-31,EMP00002,20,20,0,0,9.04
2022-02-28,EMP00002,22,22,0,0,0.0
2022-03-31,EMP00002,21,17,4,0,1.36
2022-04-30,EMP00002,20,20,0,0,8.98
2022-05-31,EMP00002,22,22,0,0,11.69
2022-06-30,EMP00002,20,19,1,0,8.86
2022-07-31,EMP00002,23,22,1,0,7.42
2022-08-31,EMP00002,21,18,3,0,6.49
2022-09-30,EMP00002,20,18,2,0,0.61
2022-10-31,EMP00002,22,22,0,0,4.4
2022-11-30,EMP00002,22,21,1,0,5.7
2022-12-31,EMP00002,21,20,0,1,13.29
2023-01-31,EMP00002,23,23,0,0,9.72
2023-02-28,EMP00002,22,20,1,1,0.0
2023-03-31,EMP00002,20,18,2,0,9.62
2023-04-30,EMP00002,22,19,2,1,6.07
2023-05-31,EMP00002,21,21,0,0,4.62
2023-06-30,EMP00002,21,20,1,0,11.06
2023-07-31,EMP00002,22,19,1,2,13.15
2023-08-31,EMP00002,21,18,3,0,12.66
2023-09-30,EMP00002,23,21,2,0,3.8
2023-10-31,EMP00002,21,21,0,0,6.45
2023-11-30,EMP00002,20,19,0,1,9.66
2023-12-31,EMP00002,20,19,0,1,12.88
2024-01-31,EMP00002,22,22,0,0,5.6
2022-01-31,EMP00003,20,20,0,0,7.07
2022-02-28,EMP00003,21,20,1,0,2.47
2022-03-31,EMP00003,22,21,1,0,2.02
2022-04-30,EMP00003,20,20,0,0,12.06
2022-05-31,EMP00003,21,18,2,1,14.78
2022-06-30,EMP00003,23,22,1,0,7.64
2022-07-31,EMP00003,21,20,0,1,13.02
2022-08-31,EMP00003,20,19,1,0,9.81
2022-09-30,EMP00003,23,21,1,1,4.77
2022-10-31,EMP00003,22,21,1,0,9.81
2022-11-30,EMP00003,22,20,1,1,15.69
2022-12-31,EMP00003,20,20,0,0,7.82
2023-01-31,EMP00003,22,22,0,0,15.82
2023-02-28,EMP00003,23,22,1,0,0.0
2023-03-31,EMP00003,21,19,2,0,12.11
2023-04-30,EMP00003,22,20,1,1,8.44
2023-05-31,EMP00003,23,23,0,0,6.5
2023-06-30,EMP00003,20,18,2,0,8.46
2023-07-31,EMP00003,21,20,0,1,0.0
2023-08-31,EMP00003,22,18,4,0,6.9
2022-01-31,EMP00004,20,19,1,0,9.79
2022-02-28,EMP00004,22,19,3,0,15.39
2022-03-31,EMP00004,23,22,1,0,5.41
2022-04-30,EMP00004,23,23,0,0,3.96
2022-05-31,EMP00004,22,20,2,0,5.49
2022-06-30,EMP00004,21,21,0,0,12.58
2022-07-31,EMP00004,21,21,0,0,9.64
2022-08-31,EMP00004,23,20,3,0,5.35
2022-09-30,EMP00004,21,20,1,0,10.57
2022-10-31,EMP00004,23,21,2,0,8.49
2022-11-30,EMP00004,23,20,3,0,12.84
2022-12-31,EMP00004,23,19,4,0,4.49
2023-01-31,EMP00004,23,22,1,0,6.36
2023-02-28,EMP00004,21,20,1,0,6.04
2023-03-31,EMP00004,20,18,2,0,0.68
2023-04-30,EMP00004,22,19,1,2,9.48
2023-05-31,EMP00004,22,22,0,0,9.31
2023-06-30,EMP00004,22,20,2,0,8.03
2023-07-31,EMP00004,20,18,2,0,6.83
2023-08-31,EMP00004,20,20,0,0,0.92
2023-09-30,EMP00004,22,22,0,0,5.9
2022-01-31,EMP00005,23,23,0,0,6.29
2022-02-28,EMP00005,23,21,2,0,3.99
2022-03-31,EMP00005,23,21,2,0,7.19
2022-04-30,EMP00005,23,21,2,0,10.02
2022-05-31,EMP00005,23,21,2,0,17.43
2022-06-30,EMP00005,23,22,1,0,8.87
2022-07-31,EMP00005,22,18,4,0,9.29
2022-08-31,EMP00005,22,22,0,0,7.63
2022-09-30,EMP00005,21,19,2,0,0.0
2022-10-31,EMP00005,22,21,1,0,7.87
2022-11-30,EMP00005,20,19,1,0,8.3
2022-12-31,EMP00005,22,22,0,0,20.32
2023-01-31,EMP00005,20,18,2,0,7.04
2023-02-28,EMP00005,21,20,1,0,9.51
2023-03-31,EMP00005,21,18,3,0,7.83
2023-04-30,EMP00005,22,22,0,0,2.16
2023-05-31,EMP00005,22,22,0,0,13.71
2023-03-31,EMP00006,23,23,0,0,11.76
2023-04-30,EMP00006,22,22,0,0,11.96
2023-05-31,EMP00006,22,20,2,0,3.45
2023-06-30,EMP00006,20,17,3,0,15.01
2023-07-31,EMP00006,23,22,1,0,0.99
2023-08-31,EMP00006,20,19,1,0,10.93
2023-09-30,EMP00006,23,23,0,0,18.95
2023-10-31,EMP00006,20,18,1,1,3.05
2023-11-30,EMP00006,20,16,4,0,5.17
