performance_date,employee_id,rating_code,goals_completed,promotion_flag,bonus_amount
2022-03-31,EMP00001,3,10,False,82043.77
2022-06-30,EMP00001,4,6,False,106861.36
2022-09-30,EMP00001,4,11,False,87113.02
2022-12-31,EMP00001,3,7,False,48661.77
2023-03-31,EMP00001,3,8,False,53088.79
2023-06-30,EMP00001,3,10,False,150370.34
2023-09-30,EMP00001,4,3,False,61625.71
2023-12-31,EMP00001,3,3,False,123045.37
2024-03-31,EMP00001,1,10,False,0.0
2024-06-30,EMP00001,4,11,False,49759.92
2024-09-30,EMP00001,4,10,False,52635.23
2024-12-31,EMP00001,1,11,False,0.0
2022-03-31,EMP00002,3,3,False,29979.29
2022-06-30,EMP00002,5,7,False,107162.81
2022-09-30,EMP00002,3,9,False,62800.63
2022-12-31,EMP00002,5,10,False,101993.5
2023-03-31,EMP00002,4,8,False,22369.28
2023-06-30,EMP00002,3,7,False,92585.47
2023-09-30,EMP00002,4,5,False,30503.47
2023-12-31,EMP00002,2,7,False,0.0
2022-03-31,EMP00003,3,5,False,8779.4
2022-06-30,EMP00003,4,11,True,43046.65
2022-09-30,EMP00003,2,12,False,0.0
2022-12-31,EMP00003,4,11,False,30308.52
2023-03-31,EMP00003,5,12,False,12050.89
2023-06-30,EMP00003,3,7,False,22619.47
2022-03-31,EMP00004,3,9,False,141708.2
2022-06-30,EMP00004,1,10,False,0.0
2022-09-30,EMP00004,4,9,False,73370.52
2022-12-31,EMP00004,4,11,False,225112.46
2023-03-31,EMP00004,3,12,False,48073.12
2023-06-30,EMP00004,2,10,False,0.0
2023-09-30,EMP00004,3,7,False,40737.56
2022-03-31,EMP00005,3,8,False,14209.19
2022-06-30,EMP00005,3,3,False,16613.76
2022-09-30,EMP00005,3,8,False,49038.16
2022-12-31,EMP00005,3,3,False,45779.76
2023-03-31,EMP00005,3,10,False,48074.94
2023-03-31,EMP00006,3,12,False,139778.42
2023-06-30,EMP00006,3,8,False,183083.96
2023-09-30,EMP00006,5,8,False,99548.42
2023-12-31,EMP00006,3,3,False,65152.84
2024-03-31,EMP00006,4,3,False,68233.27
2024-06-30,EMP00006,3,3,False,183091.39
2024-09-30,EMP00006,4,9,False,194890.87
2024-12-31,EMP00006,1,4,False,0.0
2022-03-31,EMP00007,4,5,False,110563.52
2022-06-30,EMP00007,3,11,False,93148.13
2022-09-30,EMP00007,3,8,False,107534.72
2022-12-31,EMP00007,3,8,False,81500.42
2023-03-31,EMP00007,3,8,False,154762.58
2023-06-30,EMP00007,4,6,False,83499.19
2023-09-30,EMP00007,3,3,False,117584.99
2023-12-31,EMP00007,4,5,False,75096.17
2024-03-31,EMP00007,4,3,False,146132.65
2024-06-30,EMP00007,3,10,False,123406.6
2024-09-30,EMP00007,4,7,False,74796.72
2024-12-31,EMP00007,5,10,False,84764.53
2022-03-31,EMP00008,3,11,False,34970.28
2022-06-30,EMP00008,5,5,False,17175.64
2022-09-30,EMP00008,3,5,False,62205.53
2022-12-31,EMP00008,5,8,False,50491.15
2023-03-31,EMP00008,4,4,False,32215.36
2023-06-30,EMP00008,5,10,False,54503.4
2023-09-30,EMP00008,4,4,True,45459.89
2023-12-31,EMP00008,3,5,False,37497.45
2024-03-31,EMP00008,3,4,False,31065.24
2024-06-30,EMP00008,3,4,False,38688.68
2024-09-30,EMP00008,3,8,False,53047.43
2024-12-31,EMP00008,5,11,False,29376.65
2022-09-30,EMP00009,1,7,False,0.0
2022-12-31,EMP00009,1,6,False,0.0
2023-03-31,EMP00009,3,6,False,76619.67
2023-06-30,EMP00009,3,9,False,52626.87
2023-09-30,EMP00009,4,4,False,64430.62
2023-12-31,EMP00009,3,9,False,59654.09
2024-03-31,EMP00009,3,8,False,37839.03
2024-06-30,EMP00009,4,11,False,123640.48
2024-09-30,EMP00009,3,11,False,82837.12
2022-03-31,EMP00010,5,9,False,100707.99
2022-06-30,EMP00010,3,8,False,67557.0
2022-09-30,EMP00010,3,10,False,97691.59
2022-12-31,EMP00010,3,6,False,63999.75
2023-03-31,EMP00010,5,10,False,97981.84
2023-06-30,EMP00010,3,7,False,98930.91
2022-03-31,EMP00011,5,9,False,63191.06
2022-06-30,EMP00011,3,6,False,82317.02
2022-09-30,EMP00011,3,8,False,74042.93
2022-12-31,EMP00011,5,7,False,82376.64
2023-03-31,EMP00011,4,10,False,44436.06
2023-06-30,EMP00011,2,5,False,0.0
2023-09-30,EMP00011,2,5,False,0.0
2023-12-31,EMP00011,3,12,False,59925.58
2024-03-31,EMP00011,3,7,False,35374.35
2024-06-30,EMP00011,4,9,False,66211.44
2024-09-30,EMP00011,4,3,False,33368.42
2024-12-31,EMP00011,2,10,False,0.0
2022-03-31,EMP00012,4,5,False,35746.24
2022-06-30,EMP00012,4,4,False,27513.3
2022-09-30,EMP00012,3,3,False,64463.37
2022-12-31,EMP00012,3,9,False,35211.76
2023-03-31,EMP00012,3,4,False,125663.44
2023-06-30,EMP00012,3,4,False,59748.32
2023-09-30,EMP00012,4,7,False,95651.26
2023-12-31,EMP00012,5,5,False,33876.32
2024-03-31,EMP00012,5,12,False,61221.26
2024-06-30,EMP00012,3,11,False,47598.0
2024-03-31,EMP00013,4,12,False,180976.6
2024-06-30,EMP00013,2,6,False,0.0
2024-09-30,EMP00013,4,9,False,131783.58
2024-12-31,EMP00013,2,9,False,0.0
2023-03-31,EMP00014,1,7,False,0.0
2023-06-30,EMP00014,3,5,False,82558.22
2023-09-30,EMP00014,2,4,False,0.0
2023-12-31,EMP00014,3,9,False,75960.13
2024-03-31,EMP00014,5,10,False,56126.87
2024-06-30,EMP00014,1,5,False,0.0
2024-09-30,EMP00014,3,7,False,86226.08
2024-12-31,EMP00014,3,9,False,72502.29
2022-03-31,EMP00015,4,11,False,48836.57
2022-06-30,EMP00015,3,11,False,196231.71
2022-09-30,EMP00015,2,6,False,0.0
2022-12-31,EMP00015,4,9,False,64693.07
