training_date,employee_id,training_category,training_hours,training_cost,completion_status
2022-02-28,EMP00001,Technical Skills,13.01,17339.44,In Progress
2022-03-31,EMP00001,Compliance,17.05,19924.72,Completed
2022-05-31,EMP00001,Compliance,21.74,35894.71,Completed
2022-10-31,EMP00001,Leadership,14.26,30199.29,Completed
2022-11-30,EMP00001,Compliance,21.36,26966.24,Completed
2022-12-31,EMP00001,Technical Skills,6.06,11028.69,Completed
2023-04-30,EMP00001,Leadership,22.36,47410.29,Completed
2024-04-30,EMP00001,Cybersecurity,21.96,41161.34,Completed
2024-10-31,EMP00001,Communication,20.82,30597.11,Completed
2024-12-31,EMP00001,Cybersecurity,14.27,27404.17,Completed
2022-02-28,EMP00002,Technical Skills,5.55,5855.3,Completed
2022-03-31,EMP00002,Compliance,21.75,41595.21,Completed
2022-05-31,EMP00002,Technical Skills,15.47,11987.45,Completed
2022-06-30,EMP00002,Data Literacy,23.89,27859.69,Completed
2022-08-31,EMP00002,Technical Skills,2.03,1295.91,Completed
2022-09-30,EMP00002,Data Literacy,19.73,18541.08,Completed
2022-10-31,EMP00002,Data Literacy,9.13,5567.57,Completed
2023-06-30,EMP00002,Leadership,7.97,5888.85,In Progress
2023-07-31,EMP00002,Compliance,5.85,7012.66,Completed
2023-08-31,EMP00002,Communication,21.91,18547.35,Completed
2023-12-31,EMP00002,Compliance,16.05,15018.84,Completed
2022-02-28,EMP00003,Cybersecurity,19.69,29899.91,Completed
2022-09-30,EMP00003,Compliance,10.63,18277.05,Completed
2022-11-30,EMP00003,Compliance,15.3,12298.61,Completed
2022-12-31,EMP00003,Technical Skills,14.05,30323.09,Completed
2023-04-30,EMP00003,Communication,3.53,2732.19,Completed
2023-05-31,EMP00003,Technical Skills,19.97,40331.78,In Progress
2023-07-31,EMP00003,Cybersecurity,8.7,18351.2,Completed
2022-01-31,EMP00004,Cybersecurity,14.32,31015.89,Completed
2022-11-30,EMP00004,Leadership,14.5,25053.27,Completed
2023-03-31,EMP00004,Leadership,12.32,17497.62,Completed
2023-09-30,EMP00004,Technical Skills,22.02,39247.29,Completed
2022-01-31,EMP00005,Leadership,23.28,36150.83,In Progress
2022-03-31,EMP00005,Leadership,3.16,4242.06,Completed
2022-05-31,EMP00005,Data Literacy,21.15,13091.45,In Progress
2022-08-31,EMP00005,Cybersecurity,14.85,19865.94,Completed
2022-12-31,EMP00005,Data Literacy,16.45,31859.28,In Progress
2023-03-31,EMP00005,Communication,22.3,23241.37,Completed
2023-04-30,EMP00005,Leadership,10.42,11798.02,Completed
2023-10-31,EMP00006,Communication,18.73,19927.48,Completed
2023-11-30,EMP00006,Communication,21.72,34947.2,Completed
2024-05-31,EMP00006,Cybersecurity,2.42,4964.6,Completed
2024-10-31,EMP00006,Leadership,15.05,17108.93,Completed
2022-05-31,EMP00007,Compliance,9.65,5860.56,Completed
2023-01-31,EMP00007,Technical Skills,18.23,36310.84,Completed
2023-02-28,EMP00007,Communication,5.19,10819.17,Completed
2023-03-31,EMP00007,Technical Skills,2.71,4091.74,Completed
2023-04-30,EMP00007,Compliance,6.84,7334.25,Completed
2023-05-31,EMP00007,Communication,20.85,28830.16,Dropped
2023-06-30,EMP00007,Data Literacy,22.82,47055.01,In Progress
2023-11-30,EMP00007,Communication,20.87,37475.4,Completed
2024-07-31,EMP00007,Compliance,13.08,16699.06,Completed
2024-10-31,EMP00007,Communication,21.75,23085.37,In Progress
2024-11-30,EMP00007,Technical Skills,21.25,30453.38,Completed
2022-03-31,EMP00008,Technical Skills,21.76,23726.93,Completed
2022-07-31,EMP00008,Cybersecurity,2.76,3055.62,Completed
2023-01-31,EMP00008,Data Literacy,20.5,26927.9,Completed
2023-04-30,EMP00008,Communication,10.13,12120.85,Completed
2023-09-30,EMP00008,Technical Skills,14.23,24708.9,Completed
2023-10-31,EMP00008,Communication,2.93,5631.45,In Progress
2023-11-30,EMP00008,Leadership,5.39,5822.66,Completed
2024-04-30,EMP00008,Compliance,12.14,20750.33,Completed
2024-07-31,EMP00008,Compliance,21.19,40746.57,Completed
2024-10-31,EMP00008,Technical Skills,19.49,29115.1,Completed
2024-11-30,EMP00008,Technical Skills,22.32,30516.56,Completed
2022-07-31,EMP00009,Technical Skills,8.76,8197.13,Dropped
2022-08-31,EMP00009,Communication,18.66,12465.39,Completed
2022-10-31,EMP00009,Technical Skills,6.07,7056.09,Completed
2022-11-30,EMP00009,Data Literacy,19.18,30318.41,Completed
2023-01-31,EMP00009,Cybersecurity,4.17,3929.91,Completed
2023-04-30,EMP00009,Compliance,17.5,26099.7,Completed
2023-10-31,EMP00009,Compliance,23.45,26775.46,Completed
2024-01-31,EMP00009,Communication,4.38,4384.83,Completed
2024-06-30,EMP00009,Communication,21.36,16887.53,Completed
2024-07-31,EMP00009,Cybersecurity,20.93,22706.36,Completed
2022-02-28,EMP00010,Compliance,9.68,17300.98,Completed
2022-03-31,EMP00010,Cybersecurity,8.87,6527.49,Completed
2022-10-31,EMP00010,Leadership,8.54,12960.59,Completed
2022-12-31,EMP00010,Compliance,13.1,14146.09,Completed
2023-04-30,EMP00010,Technical Skills,10.01,8372.26,Completed
2023-06-30,EMP00010,Data Literacy,7.19,7057.51,Completed
2022-01-31,EMP00011,Compliance,16.49,14537.19,In Progress
2022-04-30,EMP00011,Leadership,14.56,20389.79,Completed
