snapshot_date,employee_id,department_name,job_title,job_level,city,state,country,manager_id,education_level,salary,tenure_months,is_active
2022-01-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,60,True
2022-02-28,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,61,True
2022-03-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,62,True
2022-04-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,63,True
2022-05-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,64,True
2022-06-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,65,True
2022-07-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,66,True
2022-08-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,67,True
2022-09-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,68,True
2022-10-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,69,True
2022-11-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,70,True
2022-12-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,71,True
2023-01-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,72,True
2023-02-28,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,73,True
2023-03-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,74,True
2023-04-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,75,True
2023-05-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,76,True
2023-06-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,77,True
2023-07-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,78,True
2023-08-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,79,True
2023-09-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,80,True
2023-10-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,81,True
2023-11-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,82,True
2023-12-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,83,True
2024-01-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,84,True
2024-02-29,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,85,True
2024-03-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,86,True
2024-04-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,87,True
2024-05-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,88,True
2024-06-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,89,True
2024-07-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,90,True
2024-08-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,91,True
2024-09-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,92,True
2024-10-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,93,True
2024-11-30,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,94,True
2024-12-31,EMP00001,Marketing,Sales Manager,Manager,Delhi,Delhi,India,MGR0003,MBA,1382605.28,95,True
2022-01-31,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,22,True
2022-02-28,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,23,True
2022-03-31,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,24,True
2022-04-30,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,25,True
2022-05-31,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,26,True
2022-06-30,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,27,True
2022-07-31,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,28,True
2022-08-31,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,29,True
2022-09-30,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,30,True
2022-10-31,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,31,True
2022-11-30,EMP00002,Legal,Software Engineer,Associate,Gurugram,Haryana,India,MGR0037,Bachelor's Degree,1022743.1,32,True
